video_file,caption,hashtags,post_to_tiktok,post_to_instagram,post_to_facebook,post_to_youtube,scheduled_at,status,notes,tiktok_caption,instagram_caption,facebook_caption,zernio_media_url,zernio_profile_id,facebook_page_id,youtube_title,youtube_description,youtube_privacy
videos/archive/Interview on the Common #18.mov,She brought WHAT on a date?!,#dating #NYC #cats #catlady,false,false,true,false,2026-07-03T15:30:00-04:00,ready,facebook catch-up queue,She brought WHAT on a date?!,She brought WHAT on a date?!,She brought WHAT on a date?!,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2318-20260622224430.mov,,,She brought WHAT on a date?!,"Ever show up for a date and immediately know its nots not going to work out? Well, this guy has! #dating #NYC #cats #catlady",public
videos/archive/Interview on the Common #19.mov,There is clearly one best clothing store in Boston,#brandymelville #boston #interview #swanboats,true,true,true,true,2026-07-01T17:00:00-04:00,posted,,There is clearly one best clothing store in Boston,There is clearly one best clothing store in Boston,There is clearly one best clothing store in Boston,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2319-20260629214848.mov,,,There is clearly one best clothing store in Boston,"After interviewing many people on the Boston Common, I have learned what the absolute best clothing store in Boston is! #brandymelville #boston #interview #swanboats",public
videos/inbox/Interview on the Common #20.mov,This man's goal for the summer: to stand but not with his legs...,#handstand #boston #interview #summer,true,true,true,true,2026-07-03T17:00:00-04:00,ready,,This man's goal for the summer: to stand but not with his legs...,This man's goal for the summer: to stand but not with his legs...,This man's goal for the summer: to stand but not with his legs...,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2320-20260629214945.mov,,,This man's goal for the summer: to stand but not with his legs...,"Now that summer is here, I was curious what people are hoping to accomplish during the warmer months. Here is one guy's dream accomplishment! #handstand #boston #interview #summer",public
videos/archive/Interview on the Common #21.mov,Summer Goals on the Boston Common,#french #boston #interview #summer,true,true,true,true,2026-07-05T14:15:00-04:00,posted,,Summer Goals on the Boston Common,Summer Goals on the Boston Common,Summer Goals on the Boston Common,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2321-20260629215042.mov,,,Summer Goals on the Boston Common,"Everyone has a different goal for the summer. For Rose, it is to finally become fluent in French! #french #boston #interview #summer",public
videos/inbox/Interview on the Common #22.mov,What is your biggest pet peeve?,#petpeeve #boston #interview #walking,true,true,true,true,2026-07-06T17:00:00-04:00,ready,,What is your biggest pet peeve?,What is your biggest pet peeve?,What is your biggest pet peeve?,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2322-20260625234416.mov,,,What is your biggest pet peeve?,These women had a very particular pet peeve! #petpeeve #boston #interview #walking,public
videos/inbox/Interview on the Common #23.mov,Asked a New Yorker about his weirdest date. Then he said this...,#NewYork #Interview #weed #dating,true,true,true,true,2026-07-08T15:30:00-04:00,ready,,Asked a New Yorker about his weirdest date. Then he said this...,Asked a New Yorker about his weirdest date. Then he said this...,Asked a New Yorker about his weirdest date. Then he said this...,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2323-20260625234642.mov,,,Asked a New Yorker about his weirdest date. Then he said this...,This guy tried to take a woman out on a date but she preferred the stairwell... #NewYork #Interview #weed #dating,public
videos/archive/Interview on the Common #24.mov,Ever been to the Improv Asylum?,#ImprovAsylum #Boston #StreetInterview #Improv,true,false,false,false,2026-07-10T17:00:00-04:00,posted,,Ever been to the Improv Asylum?,Ever been to the Improv Asylum?,Ever been to the Improv Asylum?,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2324-20260625235141.mov,,,Ever been to the Improv Asylum?,"Well, now I know what I need to do this summer! #ImprovAsylum #Boston #StreetInterview #Improv",public
videos/inbox/Interview on the Common #24.mov,Ever been to the Improv Asylum?,#ImprovAsylum #Boston #StreetInterview #Improv,false,true,true,true,2026-07-10T17:00:00-04:00,posted,,Ever been to the Improv Asylum?,Ever been to the Improv Asylum?,Ever been to the Improv Asylum?,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2324-20260629215250.mov,,,Ever been to the Improv Asylum?,"Well, now I know what I need to do this summer! #ImprovAsylum #Boston #StreetInterview #Improv",public
videos/inbox/Interview on the Common #25.mov,Stopped to chat with a couple of street performers on Boston Common... ended up hearing an incredible story. ❤️,#Boston #BostonCommon #StreetPerformer,true,true,true,true,2026-07-13T17:15:00-04:00,ready,,Stopped to chat with a couple of street performers on Boston Common... ended up hearing an incredible story. ❤️,Stopped to chat with a couple of street performers on Boston Common... ended up hearing an incredible story. ❤️,Stopped to chat with a couple of street performers on Boston Common... ended up hearing an incredible story. ❤️,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2325-20260702212709.mov,,,Stopped to chat with a couple of street performers on Boston Common... ended up hearing an incredible story.,"These two performers brought music, comedy, stories, and so much positive energy to Boston Common. Sometimes the best moments happen when you're willing to have a conversation with someone you've never met. #Boston #BostonCommon #StreetPerformer",public
videos/inbox/Interview on the Common #26.mov,"Went to NYC, learned an incredible dating hack!",#NewYork #Dating #WashingtonSquarePark,true,true,true,true,2026-07-15T17:15:00-04:00,ready,,"Went to NYC, learned an incredible dating hack!","Went to NYC, learned an incredible dating hack!","Went to NYC, learned an incredible dating hack!",https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2326-20260702212919.mov,,,"Went to NYC, learned an incredible dating hack!","While standing in Washington Square Park, I learned some fire dating advice from Jay. Now I want to share it with you too.  #NewYork #Dating #WashingtonSquarePark",public
videos/archive/Interview on the Common #27.mov,What's your biggest Pet Peeve?,#boston #massachusetts #interview #petpeeve,true,false,false,false,2026-07-17T17:15:00-04:00,posted,,What's your biggest Pet Peeve?,What's your biggest Pet Peeve?,What's your biggest Pet Peeve?,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2327-20260706225905.mov,,,What's your biggest Pet Peeve?,Headed off to the Boston Common to learn about people's pet peeves! #boston #massachusetts #interview #petpeeve,public
videos/inbox/Interview on the Common #28.mov,College student gives inspirational talk about life,#lifeadvice #college #boston #interview,true,true,true,true,2026-07-20T16:00:00-04:00,ready,,College student gives inspirational talk about life,College student gives inspirational talk about life,College student gives inspirational talk about life,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2328-20260712084257.mov,,,College student gives inspirational talk about life,You have only one life to live. Live it to it's fullest!,public
videos/inbox/Interview on the Common #29.mov,"This woman had never seen one... now, she's an expert.",#escalator #elevator #boston #interview,true,true,true,true,2026-07-22T16:00:00-04:00,ready,,"This woman had never seen one... now, she's an expert.","This woman had never seen one... now, she's an expert.","This woman had never seen one... now, she's an expert.",https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2329-20260712084617.mov,,,"This woman had never seen one... now, she's an expert.",Imagine coming to the United States for the first time and discovering what an elevator is!!,public
videos/inbox/Interview on the Common #27.mov,What's your biggest pet peeve? Comment below!,#boston #interview #petpeeve #bostoncommon,true,true,true,true,2026-07-17T21:00:00-04:00,ready,,What's your biggest pet peeve? Comment below!,What's your biggest pet peeve? Comment below!,What's your biggest pet peeve? Comment below!,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2327-20260717205102.mov,,,What's your biggest pet peeve? Comment below!,"Today, I'm out on the Boston Common learning about people's pet peeves!",public
videos/inbox/Interview on the Common #27.mov,What's your biggest pet peeve? Comment below!,#boston #interview #petpeeve #bostoncommon,true,true,true,true,2026-07-17T21:00:00-04:00,ready,,What's your biggest pet peeve? Comment below!,What's your biggest pet peeve? Comment below!,What's your biggest pet peeve? Comment below!,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2327-20260717205457.mov,,,What's your biggest pet peeve? Comment below!,"Today, I'm out on the Boston Common learning about people's pet peeves!",public
