video_file,caption,hashtags,post_to_tiktok,post_to_instagram,post_to_facebook,post_to_youtube,scheduled_at,status,notes,tiktok_caption,instagram_caption,facebook_caption,zernio_media_url,zernio_profile_id,facebook_page_id,youtube_title,youtube_description,youtube_privacy
videos/archive/Interview on the Common #7.mov,I asked this random guy for two truths and a lie.,#truth #lie #Boston #Massachusetts #interview,true,true,false,true,2026-06-08T14:00:00-04:00,posted,,What's your Two Truths and a Lie?,What's your Two Truths and a Lie?,,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%237-20260605235605.mov,,,Asking a Stranger for Two Truths and a Lie,Asked this man for two truths and a lie. Then he changed the game...,public
videos/archive/Interview on the Common #8.mov,You'll never guess what this man's favorite Boston Activity Is!,#travel #adventure #Boston #BostonCommon #America #RevolutionaryWar,true,true,false,true,2026-06-10T14:30:00-04:00,posted,,You'll never guess what this man's favorite Boston Activity Is!,You'll never guess what this man's favorite Boston Activity Is!,,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%238-20260610003124.mov,,,I asked his favorite Boston Activity. Then he did this...,"I asked this man about his favorite Boston activity. Then, he treated me to a song.",public
videos/archive/Interview on the Common #9.mov,You'll never guess this man's special skill!,#travel #adventure #Boston #specialskill,true,true,false,true,2026-06-12T15:30:00-04:00,posted,,You'll never guess this man's special skill!,You'll never guess this man's special skill!,,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%239-20260611000937.mov,,,You'll never guess this man's special skill!,"In this video, we finally meet somone who has not only read Moby Dick but has also memorized all the chapter titles!",public
videos/archive/Interview on the Common #10.mov,This woman has big plans for her summer!,#Boston #Helicopter #adventure #Vegas,true,true,false,true,2026-06-15T15:30:00-04:00,posted,,This woman has big plans for her summer!,This woman has big plans for her summer!,,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2310-20260611234030.mov,,,This woman has big plans for her summer!,She doesn't like flying. You'll never guess what she wants to do this summer!,public
videos/archive/Interview on the Common #11.mov,The Closest Thing to a Real Life 007,#travel #miami #boston #keithrichards,true,true,false,true,2026-06-17T15:30:00-04:00,posted,,The Closest Thing to a Real Life 007,The Closest Thing to a Real Life 007,,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2311-20260611234429.mov,,,This man knows every celebrity,"There I was in the Boston Common when JD approached me. He's traveled the world and by ""doing what he does"", he has met and become friends with an incredible collection of people including Frank Sinatra, Kieth Richards and Sylvester Stallone.",public
videos/archive/Interview on the Common #12.mov,Favorite Boston Attraction?,#Boston #BostonUniversity #adventure #interview,true,true,false,true,2026-06-19T15:30:00-04:00,posted,,Favorite Boston Attraction?,Favorite Boston Attraction?,,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2312-20260611234722.mov,,,Favorite Boston Attraction?,"Jenny shares her favorite thing to do in Boston. And let's just say, its not visit the MFA...",public
videos/archive/Interview on the Common #13.mov,World Cup in Boston - Iraq is playing for first time in 40 years!,#iraq #worldcup #norway #boston,true,true,false,true,2026-06-15T22:45:00-04:00,posted,,World Cup in Boston - Iraq is playing for first time in 40 years!,World Cup in Boston - Iraq is playing for first time in 40 years!,,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2313-20260615223628.mov,,,World Cup in Boston - Iraq is playing for first time in 40 years!,A big celebration was held at the Boston Common today about the Iraqi soccer team who will be playing against Norway in tomorrow's big World Cup game! #iraq #worldcup #norway #boston,public
videos/archive/Interview on the Common #13-20260616031934.mov,World Cup in Boston - Iraq is playing for first time in 40 years!,#iraq #worldcup #norway #boston,true,true,false,true,2026-06-15T23:15:00-04:00,posted,,World Cup in Boston - Iraq is playing for first time in 40 years!,World Cup in Boston - Iraq is playing for first time in 40 years!,,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2313-20260615230042.mov,,,World Cup in Boston - Iraq is playing for first time in 40 years!,"A big celebration was held at the Boston Common today about the Iraqi soccer team who will be playing against Norway in tomorrow's big World Cup game! #iraq #worldcup #norway #boston
#Shorts",public
videos/archive/Interview on the Common #16.mov,The Scottish are taking over Boston for the World Cup!,#Scotland #Worldcup #TartanArmy #Boston,true,true,false,true,2026-06-18T15:30:00-04:00,posted,,The Scottish are taking over Boston for the World Cup!,The Scottish are taking over Boston for the World Cup!,,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2316-20260618005022.mov,,,The Scottish are taking over Boston for the World Cup!,"If you live in Boston, you've probably seen the Kilts. You've probably heard the bagpipes. The scottish are here and they came to win! #Scotland #Worldcup #TartanArmy #Boston",public
videos/archive/Interview on the Common #14.mov,This guy knows the best Gyro in town!,#Effies #Boston #Greek #Gyro,true,true,false,true,2026-06-24T15:30:00-04:00,posted,,This guy knows the best Gyro in town!,This guy knows the best Gyro in town!,,https://pub-17bd3244bebf4b55af2bbe9d5659f7bc.r2.dev/reels/Interview_on_the_Common_%2314-20260619230603.mov,,,This guy knows the best Gyro in town!,"Out on the Boston Common, Akea told me about his favorite restaurant in Boston: Effie's in Roslindale. #Effies #Boston #Greek #Gyro",public
